"STATION","NAME","DATE","ACSH","AWND","DAPR","FMTM","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-19",,,,,,,,"0.0",,,"-17","-24",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-20",,,,,,,"0.07","1.0",,,"-3","-19",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-21",,,,,,,,"0.0",,,"-3","-4",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-22",,,,,,,,"0.0",,,"-6","-10",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-23",,,,,,,,"0.0",,,"-8","-21",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-24",,,,,,,,"0.0",,,"-12","-28",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-25",,,,,,,,"0.0",,,"-10","-22",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-26",,,,,,,"0.04","0.5",,,"-4","-23",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-27",,,,,,,"0.07","1.0",,,"-3","-10",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-28",,,,,,,,"0.0",,,"-3","-12",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-29",,,,,,,"0.04","0.5",,,"-6","-12",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-30",,,,,,,,"0.0",,,"-20","-24",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1916-12-31",,,,,,,,"0.0",,,"-30","-41",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-01",,,,,,,,"0.0",,,"-35","-48",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-02",,,,,,,,"0.0",,,"-46","-49",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-03",,,,,,,,"0.0",,,"-48","-52",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-04",,,,,,,,"0.0",,,"-46","-52",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-05",,,,,,,,"0.0",,,"-42","-46",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-06",,,,,,,"0.04","0.5",,,"-17","-48",,,,,,,,,,,,,,,,,,,,,"    1"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-07",,,,,,,,"0.0",,,"-8","-19",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-08",,,,,,,"0.07","1.0",,,"-6","-12",,,,,,,,,,,,,,,,,,,,,"    1"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-09",,,,,,,"0.04","0.5",,,"-17","-28",,,,,,,,,,,,,,,,,,,,,"    1"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-10",,,,,,,,"0.0",,,"-14","-46",,,,,,,,,,,,,,,,,,"    1",,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-11",,,,,,,,"0.0",,,"21","-15",,,,,,,,,,,,,,,,,,"    1",,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-12",,,,,,,,"0.0",,,"19","3",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-13",,,,,,,,"0.0",,,"44","19",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-14",,,,,,,,"0.0",,,"22","20",,,,,,,,,,,,,,,,,,,,"    1",
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-15",,,,,,,"0.40","5.0",,,"17","14",,,,,,,,,,,,,,,,,,,,,"    1"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-16",,,,,,,"0.15","2.0",,,"13","3",,,,,,,,,,,,,,,,,,,,,"    1"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-17",,,,,,,,"0.0",,,"-13","-24",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-18",,,,,,,,"0.0",,,"-12","-22",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-19",,,,,,,,"0.0",,,"-8","-16",,,,,,,,,,,,,,,,,,"    1",,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-20",,,,,,,"0.04","0.5",,,"0","-17",,,,,,,,,,,,,,,,,,,,,"    1"
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-21",,,,,,,,"0.0",,,"-2","-7",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-22",,,,,,,,"0.0",,,"-10","-22",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-23",,,,,,,,"0.0",,,"-22","-37",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-24",,,,,,,,"0.0",,,"-30","-41",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-25",,,,,,,,"0.0",,,"-30","-37",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-26",,,,,,,,"0.0",,,"-35","-45",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-27",,,,,,,,"0.0",,,"-30","-36",,,,,,,,,,,,,,,,"    1",,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-28",,,,,,,,"0.0",,,"-38","-46",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-29",,,,,,,,"0.0",,,"-42","-50",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-30",,,,,,,,"0.0",,,"-43","-51",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-01-31",,,,,,,,"0.0",,,"-22","-50",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-01",,,,,,,,"0.0",,,"-21","-26",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-02",,,,,,,,"0.0",,,"-16","-24",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-03",,,,,,,,"0.0",,,"-14","-18",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-04",,,,,,,,"0.0",,,"-12","-23",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-05",,,,,,,,"0.0",,,"-8","-28",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-06",,,,,,,,"0.0",,,"3","-13",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-07",,,,,,,,"0.0",,,"32","2",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-08",,,,,,,,"0.0",,,"25","13",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-09",,,,,,,,"0.0",,,"34","10",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-10",,,,,,,,"0.0",,,"30","27",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-11",,,,,,,,"0.0",,,"26","5",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-12",,,,,,,,"0.0",,,"42","26",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-13",,,,,,,,"0.0",,,"31","12",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-14",,,,,,,,"0.0",,,"23","20",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-15",,,,,,,,"3.0",,,"26","19",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-16",,,,,,,,"2.0",,,"24","17",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-17",,,,,,,,"2.0",,,"16","13",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-18",,,,,,,,"0.0",,,"5","-18",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-19",,,,,,,,"0.0",,,"3","-22",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-20",,,,,,,,"0.0",,,"12","-13",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-21",,,,,,,,"0.0",,,"22","6",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-22",,,,,,,,"0.0",,,"15","-8",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-23",,,,,,,,"0.0",,,"30","-12",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-24",,,,,,,,"0.0",,,"25","4",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-25",,,,,,,,"0.0",,,"19","5",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-26",,,,,,,,"0.0",,,"23","18",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-27",,,,,,,,"0.0",,,"21","11",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-02-28",,,,,,,,"0.0",,,"31","19",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-01",,,,,,,,"0.0",,,"43","25",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-02",,,,,,,,"0.0",,,"46","26",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-03",,,,,,,,"0.0",,,"41","32","38",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-04",,,,,,,,"0.0",,,"38","30",,,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-05",,,,,,,,"0.0",,,"36","12","32",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-06",,,,,,,,"0.0",,,"32","2","22",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-07",,,,,,,,"0.0",,,"30","17","26",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-08",,,,,,,,"0.0",,,"36","14","36",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-09",,,,,,,,"0.5",,,"36","18","28",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-10",,,,,,,,"2.5",,,"29","22","24",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-11",,,,,,,,"1.0",,,"24","17","21",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-12",,,,,,,,"0.0",,,"22","13","19",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-13",,,,,,,,"0.0",,,"25","17","22",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-14",,,,,,,,"0.0",,,"27","18","24",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-15",,,,,,,,"0.0",,,"24","9","19",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-16",,,,,,,,"1.5",,,"20","12","18",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-17",,,,,,,,"0.5",,,"20","12","20",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-18",,,,,,,,"0.2",,,"20","11","17",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-19",,,,,,,,"0.0",,,"21","0","19",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-20",,,,,,,,"0.0",,,"26","9","21",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-21",,,,,,,,"0.0",,,"26","-4","22",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-22",,,,,,,,"0.0",,,"22","6","7",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-23",,,,,,,,"0.0",,,"7","-6","3",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-24",,,,,,,,"0.0",,,"5","-22","3",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-25",,,,,,,,"0.0",,,"6","-26","2",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-26",,,,,,,,"0.2",,,"2","-6","2",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-27",,,,,,,,"0.0",,,"6","-10","3",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-28",,,,,,,,"0.0",,,"8","-24","8",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-29",,,,,,,,"0.0",,,"24","2","24",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-30",,,,,,,,"0.0",,,"28","4","28",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-03-31",,,,,,,,"0.0",,,"37","-4","35",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-01",,,,,,,"0.00","0.0",,,"36","8","34",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-02",,,,,,,"0.00","0.0",,,"34","6","32",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-03",,,,,,,"0.00","0.0",,,"34","3","33",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-04",,,,,,,"0.00","0.0",,,"34","13","20",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-05",,,,,,,"0.00","0.0",,,"20",,"19",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-06",,,,,,,"0.00","0.0",,,"23","-11","22",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-07",,,,,,,"0.00","0.0",,,"28",,"27",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-08",,,,,,,"0.00","0.0",,,"32","9","28",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-09",,,,,,,"0.00","0.0",,,"36","14","29",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-10",,,,,,,"0.00","0.0",,,"32","13","24",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-11",,,,,,,"0.00","0.0",,,"30","16","30",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-12",,,,,,,"0.00","0.0",,,"40","13","39",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-13",,,,,,,"0.00","0.0",,,"47","10","45",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-14",,,,,,,"0.00","0.0",,,"48","17","43",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-15",,,,,,,"0.00","0.0",,,"43","16","39",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-16",,,,,,,"0.00","0.0",,,"46","14","44",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-17",,,,,,,"0.00","0.0",,,"50","31","49",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-18",,,,,,,"0.00","0.0",,,"49","23","46",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-19",,,,,,,"0.00","0.0",,,"49","24","45",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-20",,,,,,,"0.50","5.0","5.0",,"45","28","30",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-21",,,,,,,"0.00","0.0","4.0",,"35","22","31",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-22",,,,,,,"0.00","0.0",,,"40","22","40",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-23",,,,,,,"0.00","0.0",,,"48","20","48",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-24",,,,,,,"0.00","0.0",,,"53","34","51",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-25",,,,,,,"0.00","0.0",,,"56","26","56",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-26",,,,,,,"0.00","0.0",,,"56","28","53",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-27",,,,,,,"0.00","0.0",,,"52","31","52",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-28",,,,,,,"0.00","0.0",,,"57","28","57",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-29",,,,,,,"0.00","0.0",,,"58","31","55",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-04-30",,,,,,,"0.00","0.0",,,"56","40","49",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-01",,,,,,,"0.00","0.0",,,"50","32","50",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-02",,,,,,,"0.00","0.0",,,"51","29","50",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-03",,,,,,,"0.00","0.0",,,"50","40","40",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-04",,,,,,,"0.00","0.0",,,"40","23","28",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-05",,,,,,,"0.00","0.0",,,"35","18","35",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-06",,,,,,,"0.00","0.0",,,"35","22","33",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-07",,,,,,,"0.00","0.0",,,"36","23","35",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-08",,,,,,,"0.00","0.0",,,"35","20","31",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-09",,,,,,,"0.00","0.0",,,"36","26","35",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-10",,,,,,,"0.00","0.0",,,"46","30","46",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-11",,,,,,,"0.00","0.0",,,"46","26","42",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-12",,,,,,,"0.00","0.0",,,"50","24","49",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-13",,,,,,,"0.00","0.0",,,"57","27","56",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-14",,,,,,,"0.00","0.0",,,"60","36","59",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-15",,,,,,,"0.00","0.0",,,"59","45","57",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-16",,,,,,,"0.00","0.0",,,"59","50","57",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-17",,,,,,,"0.00","0.0",,,"59","43","56",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-18",,,,,,,"0.00","0.0",,,"59","43","57",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-19",,,,,,,"0.00","0.0",,,"58","44","55",,,,,,,,,,,,,,,,,,,,
"USW00026435","NENANA MUNICIPAL AIRPORT, AK US","1917-05-20",,,,,,,"0.00","0.0",,,"61","40","54",,,,,,,,,,,,,,,,,,,,
