"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WSF1","WSF2","WSF5"
"USW00026435","1919-05",,"0","0",,,,,"0","8","0","2","0","24",,,,"71","13371","516",,,"48.4","60.3","36.4",,,,,,,
"USW00026435","1919-06",,"4","4","14","6",,,"0","0","0","8","0","35",,,"1.20","77","13732","361","3.08",,"53.1","62.0","44.2",,,,,,,
"USW00026435","1919-07",,"40","36",,,,,"0","0","0","25","0","43",,,,"89","81","81",,,"63.6","75.0","52.1",,,,,,,
"USW00026435","1919-08",,"45","6",,,,,"0","0","0","13","0","37",,,,"80","297","216",,,"57.9","68.7","47.1",,,,,,,
"USW00026435","1919-09",,"45","0",,,,"0","0","8","0","0","0","20",,"0.0",,"69","827","530",,"0.0","46.6","56.6","36.7",,,,,,,
"USW00026435","1919-10",,"45","0","10","4","16","3","0","27","12","0","0","2","3","2.0","0.15","49","1935","1108","0.74","5.6","28.2","35.0","21.4",,,,,,,
"USW00026435","1919-11",,"45","0",,,,,"17","30","29","0","0","-31",,,,"32","3788","1854",,,"1.3","7.4","-4.8",,,,,,,
"USW00026435","1919-12",,"45","0","5","4","31","4","21","28","28","0","0","-51","20","3.0","0.30","36","5655","1867","0.83","7.8","-2.1","7.7","-11.8",,,,,,,
"USW00026435","1920-01",,"0","0",,,"31",,"27","30","31","0","0","-55","22",,,"30","7933","2277",,,"-11.4","-1.4","-21.4",,,,,,,
"USW00026435","1920-02",,"0","0","10","5","28","4","13","28","14","0","0","-38","27","1.5","0.23","46","9425","1493","0.91","7.6","13.5","22.0","5.0",,,,,,,
"USW00026435","1920-03",,"0","0","4","1","31",,"15","31","31","0","0","-38","24",,"0.27","32","11202","1777","0.39",,"7.7","18.2","-2.8",,,,,,,
"USW00026435","1920-04",,"0","0","1","1","24","1","11","28","9","0","0","-23","24","1.0","0.16","47","12492","1290","0.16","1.0","20.3","33.7","6.9",,,,,,,
"USW00026435","1920-05",,"0","0",,,,,"0","17","0","3","0","18",,,,"74","13190","698",,,"42.5","52.4","32.6",,,,,,,
"USW00026435","1920-06",,"6","6",,,,,"0","0","0","20","0","38",,,,"78","13379","188",,,"58.9","70.9","46.9",,,,,,,
"USW00026435","1920-07",,"24","18","10","5",,,"0","0","0","15","0","37",,,"0.45","81","150","150","1.23",,"60.6","71.0","50.1",,,,,,,
"USW00026435","1920-08",,"24","0","11","4",,,"0","0","0","11","0","34",,,"1.50","81","468","318","4.31",,"54.8","65.6","43.9",,,,,,,
"USW00026435","1920-09",,"24","0",,,,,"0","15","0","0","0","15",,,,"67","1107","639",,,"43.1","54.1","32.1",,,,,,,
"USW00026435","1920-10",,"24","0","4","3",,"3","4","29","17","0","0","-6",,"3.0","0.30","50","2347","1240","0.68","8.2","23.7","31.4","16.0",,,,,,,
"USW00026435","1920-11",,"24","0","3","0","9",,"15","29","25","0","0","-22","1",,"0.05","39","3941","1594","0.14",,"8.0","16.9","-1.0",,,,,,,
"USW00026435","1920-12",,"24","0","3","1","31","2","23","30","30","0","0","-34","4","2.0","0.10","30","5854","1913","0.23","3.5","-0.8","6.4","-8.1",,,,,,,
"USW00026435","1921-01",,"0","0","5","2",,"2","30","31","31","0","0","-57",,"2.0","0.14","25","8320","2466","0.31","3.8","-14.6","-1.8","-27.3",,,,,,,
"USW00026435","1921-02",,"0","0","2","0",,,"24","28","27","0","0","-43",,,"0.05","31","10285","1964","0.09",,"-7.5","3.5","-18.5",,,,,,,
"USW00026435","1921-03",,"0","0","12","5",,,"16","31","22","0","0","-30",,,"0.63","48","11920","1635","2.24",,"12.3","24.5","-0.1",,,,,,,
"USW00026435","1921-04",,"0","0","3","0",,"0","1","28","6","0","0","-21",,"0.6","0.04","50","13031","1111","0.10","0.8","28.0","39.4","16.5",,,,,,,
"USW00026435","1921-05",,"0","0","3","2",,"0","0","10","0","2","0","23",,"0.0","0.38","73","13591","560","0.53","0.0","45.7","56.4","35.0",,,,,,,
"USW00026435","1921-06",,"6","6","8","7",,,"0","0","0","17","0","39",,,"0.34","79","13746","155","1.32",,"59.8","71.5","48.1",,,,,,,
"USW00026435","1921-07",,"14","8","11","3",,,"0","0","0","25","0","40",,,"0.50","81","116","116","1.46",,"61.5","72.6","50.5",,,,,,,
"USW00026435","1921-08",,"18","4","12","6",,,"0","0","0","18","0","35",,,"0.62","84","297","181","1.88",,"59.0","70.3","47.6",,,,,,,
"USW00026435","1921-09",,"18","0","7","3",,"0","0","19","0","0","0","19",,"0.0","0.55","63","1038","741","1.27","0.0","40.3","49.6","31.0",,,,,,,
"USW00026435","1921-10",,"18","0",,,,,"3","30","17","0","0","-2",,,,"52","2291","1253",,,"24.6","30.9","18.3",,,,,,,
"USW00026435","1921-11",,"18","0","0","0",,"0","16","29","27","0","0","-23",,"0.0","0.00","35","3893","1602","0.00","0.0","9.7","17.8","1.7",,,,,,,
"USW00026435","1921-12",,"18","0","5","2",,,"20","31","27","0","0","-20",,,"0.15","39","5634","1741","0.45",,"8.8","19.0","-1.4",,,,,,,
"USW00026435","1922-01",,"0","0","9","2",,,"22","30","31","0","0","-39",,,"0.10","29","7590","1955","0.50",,"-0.1","8.5","-8.7",,,,,,,
"USW00026435","1922-02",,"0","0","8","0",,,"16","28","27","0","0","-41",,,"0.07","33","9362","1772","0.43",,"1.7","10.3","-6.9",,,,,,,
"USW00026435","1922-03",,"0","0","3","0",,,"26","31","27","0","0","-33",,,"0.09","40","11328","1966","0.17",,"1.6","14.7","-11.6",,,,,,,
"USW00026435","1922-04",,"0","0","5","0",,,"1","28","5","0","0","-5",,,"0.05","57","12355","1027","0.18",,"30.8","40.6","20.9",,,,,,,
"USW00026435","1922-05",,"4","4","3","1",,,"0","17","5","6","0","9",,,"0.45","81","13076","721","0.53",,"41.9","53.1","30.6",,,,,,,
"USW00026435","1922-06",,"4","0","11","3",,,"0","0","0","9","0","35",,,"0.27","79","13333","257","0.99",,"56.4","66.7","46.2",,,,,,,
"USW00026435","1922-07",,"12","8","21","15",,,"0","0","0","4","0","38",,,"1.25","77","287","287","7.10",,"56.0","63.8","48.2",,,,,,,
"USW00026435","1922-08",,"12","0","6","2",,"0","0","3","0","10","0","26",,"0.0","0.46","80","575","288","0.89","0.0","55.1","65.4","44.8",,,,,,,
"USW00026435","1922-09",,"12","0","11","6",,,"0","12","0","0","0","18",,,"0.73","65","1272","697","1.78",,"41.8","50.6","33.0",,,,,,,
"USW00026435","1922-10",,"12","0","11","2",,"3","1","22","11","0","0","0",,"1.0","0.15","52","2313","1041","0.52","4.3","31.4","38.0","24.8",,,,,,,
"USW00026435","1922-11",,"12","0","3","1",,"2","13","30","25","0","0","-29",,"2.0","0.15","39","4050","1737","0.26","4.7","7.1","14.8","-0.6",,,,,,,
"USW00026435","1922-12",,"12","0","3","1",,"1","24","31","30","0","0","-40",,"3.0","0.16","32","6080","2029","0.19","3.4","-2.4","6.1","-10.9",,,,,,,
"USW00026435","1923-01",,"0","0","9","3",,"5","27","31","28","0","0","-45",,"4.0","0.23","38","8377","2297","0.78","11.9","-9.1","0.9","-19.1",,,,,,,
"USW00026435","1923-02",,"0","0","10","4",,"4","16","28","23","0","0","-24",,"2.2","0.14","38","9980","1603","0.66","9.6","7.7","16.3","-0.8",,,,,,,
"USW00026435","1923-03",,"0","0","7","1",,"4","15","31","28","0","0","-31",,"4.5","0.23","39","11713","1733","0.54","10.8","9.1","19.7","-1.5",,,,,,,
"USW00026435","1923-04",,"0","0","2","0",,,"0","28","5","0","0","1",,,"0.02","53","12817","1103","0.03",,"28.2","38.5","17.9",,,,,,,
"USW00026435","1923-05",,"0","0","8","4",,"1","0","8","1","5","0","13",,"2.0","0.20","73","13358","541","0.91","2.0","47.6","59.1","36.0",,,,,,,
"USW00026435","1923-06",,"18","18","6","4",,"0","0","1","0","18","0","32",,"0.0","0.77","87","13516","158","1.76","0.0","60.3","71.6","49.0",,,,,,,
"USW00026435","1923-07",,"93","75",,,,,"0","0","0","31","1","42",,,,"90","45","45",,,"66.0","81.2","50.7",,,,,,,
"USW00026435","1923-08",,"142","49","2","1",,,"0","1","0","28","0","32",,,"0.90","88","92","47","0.95",,"64.9","82.5","47.4",,,,,,,
"USW00026435","1923-09",,"142","0","5","3",,"1","0","6","0","1","0","20",,"1.0","0.50","70","628","536","0.80","1.2","46.5","56.6","36.3",,,,,,,
"USW00026435","1923-10",,"142","0","0","0",,"0","0","20","1","0","0","11",,"0.0","0.00","64","1459","831","0.00","0.0","38.2","48.8","27.6",,,,,,,
"USW00026435","1923-11",,"142","0","2","0",,"3","16","30","24","0","0","-39",,"2.0","0.05","40","3072","1613","0.09","5.0","8.8","19.2","-1.5",,,,,,,
"USW00026435","1923-12",,"142","0","1","1",,"1","31","31","31","0","0","-45",,"2.0","0.12","22","5678","2606","0.12","2.0","-19.0","-9.4","-28.7",,,,,,,
"USW00026435","1924-01",,"0","0","3","3",,"3","27","31","31","0","0","-44",,"4.3","0.30","26","7935","2257","0.70","10.0","-7.8","1.0","-16.6",,,,,,,
"USW00026435","1924-02",,"0","0","1","1",,"1","23","29","27","0","0","-48",,"2.0","0.10","43","10092","2157","0.10","2.0","-9.4","0.7","-19.5",,,,,,,
"USW00026435","1924-03",,"0","0","1","1",,"1","8","31","8","0","0","-14",,"2.0","0.10","52","11355","1263","0.10","2.0","24.3","36.7","11.8",,,,,,,
"USW00026435","1924-04",,"0","0","2","0",,"2","17","30","22","0","0","-26",,"2.0","0.07","51","12940","1585","0.11","3.0","12.1","25.3","-1.0",,,,,,,
"USW00026435","1924-05",,"0","0","1","1",,"0","0","8","0","4","0","23",,"0.0","0.20","72","13457","517","0.20","0.0","48.3","59.1","37.5",,,,,,,
"USW00026435","1924-07",,,"58","8","7",,,"0","0","0","18","0","39",,,"0.90","86","207","207","3.31",,"60.2","71.7","48.7",,,,,,,
"USW00026435","1924-08",,,"2","8","8",,,"0","1","0","11","0","30",,,"1.10","81","498","291","3.25",,"55.7","66.1","45.2",,,,,,,
"USW00026435","1924-09",,,"0","6","5",,"0","0","13","0","0","0","22",,"0.0","0.45","68","1153","655","1.40","0.0","43.2","52.4","33.9",,,,,,,
"USW00026435","1924-10",,,"0","5","4",,"5","20","30","23","0","0","-17",,"4.0","0.30","50","2753","1599","0.89","12.0","13.4","23.8","3.0",,,,,,,
"USW00026435","1924-11",,,"0","3","1",,"3","15","30","25","0","0","-20",,"3.0","0.15","41","4365","1612","0.23","6.0","11.3","22.3","0.2",,,,,,,
"USW00026435","1924-12",,,"0","2","2",,"2","31","31","31","0","0","-56",,"5.0","0.20","20","6954","2590","0.35","8.0","-18.5","-7.7","-29.4",,,,,,,
"USW00026435","1925-01",,"0","0","2","1",,"1","31","31","31","0","0","-63",,"4.0","0.20","5","9859","2904","0.22","4.4","-28.7","-19.7","-37.7",,,,,,,
"USW00026435","1925-02",,"0","0","4","4",,"4","25","28","28","0","0","-51",,"2.3","0.20","28","11994","2136","0.60","7.6","-11.3","1.2","-23.7",,,,,,,
"USW00026435","1925-03",,"0","0","4","4",,"4","22","30","28","0","0","-50",,"3.5","0.20","38","13710","1716","0.65","11.2","5.5","18.9","-7.8",,,,,,,
"USW00026435","1930-10",,,,"7","3","22","3","0","24",,,,"10","4","3.0","0.30",,,,"0.80","8.0",,,"20.4",,,,,,,
"USW00026435","1930-11",,,,"5","2","30","4","15","25",,,,"-29","7","2.0","0.13",,,,"0.43","6.5",,,"-7.0",,,,,,,
"USW00026435","1930-12",,,"0","2","2","31","2","28","29","28","0","0","-22","12","8.0","0.53","34",,"1775","0.66","10.0","3.5","15.1","-8.2",,,,,,,
"USW00026435","1931-01",,,,,,"30",,"21","29",,,,"-25","10",,,,,,,,,,"-6.3",,,,,,,
"USW00026435","1931-02",,,"0","2","2","26","2","16","26","22","0","0","-21","10","1.0","0.10","40",,"1419","0.20","2.0","7.9","17.6","-1.8",,,,,,,
"USW00026435","1931-03",,,"0",,,"31",,"17","31","24","0","0","-18","9",,,"40",,"1689",,,"8.6","20.2","-2.9",,,,,,,
"USW00026435","1931-04",,,"0",,,"13",,"5","25","14","0","0","-7","4",,,"60",,"1137",,,"24.7","34.5","14.9",,,,,,,
"USW00026435","1931-05",,,"0",,,,,"0","17","0","0","0","12",,,,"67",,"701",,,"41.6","51.1","32.1",,,,,,,
"USW00026435","1931-06",,,"10",,,,,"0","1","0","14","0","32",,,,"82",,"209",,,"57.5","69.3","45.7",,,,,,,
"USW00026435","1931-07",,,"0",,,,,"0","0","0","19","0","42",,,,"79","148","148",,,"60.2","70.2","50.2",,,,,,,
"USW00026435","1931-08",,,"2",,,,,"0","1","0","2","0","24",,,,"80","440","292",,,"55.3","64.8","45.9",,,,,,,
"USW00026435","1931-09",,,"0",,,,,"0","7","0","0","0","22",,,,"66","1030","589",,,"45.4","52.5","38.2",,,,,,,
"USW00026435","1931-10",,,"0",,,,,"1","29","11","0","0","0",,,,"49","2088","1059",,,"26.9","34.8","18.9",,,,,,,
"USW00026435","1931-11",,,"0",,,"27","3","9","29","25","0","0","-28","12","4.0",,"47","3609","1520",,"10.0","12.7","22.3","3.0",,,,,,,
"USW00026435","1931-12",,,"0","9","7","31","9","19","27","30","0","0","-41","32","8.0","0.84","33","5388","1779","2.47","28.0","-1.6","7.0","-10.3",,,,,,,
"USW00026435","1932-01",,"0","0","5","1","31","5","26","27","31","0","0","-54","30","4.0","0.25","27","7613","2225","0.50","10.0","-17.7","-6.1","-29.3",,,,,,,
"USW00026435","1932-02",,"0","0","6","6","28",,"20","26","27","0","0","-58","60",,"0.65","34","9646","2033","1.79",,"-13.9","-0.9","-27.0",,,,,,,
"USW00026435","1932-03",,"0","0","0","0","31","0","13","29","24","0","0","-17","40","0.0","0.00","42","11037","1391","0.00","0.0","15.1","26.0","4.2",,,,,,,
"USW00026435","1932-04",,"0","0","0","0",,,"3","29","4","0","0","0",,,"0.00","57","12102","1066","0.00",,"29.5","42.4","16.5",,,,,,,
"USW00026435","1932-05",,"0","0",,,,"0","0","10","0","1","0","27",,"0.0",,"72","12663","561",,"0.0","46.9","58.4","35.4",,,,,,,
"USW00026435","1932-06",,"0","0",,,,,"0","0","0","18","0","35",,,,"79","12931","267",,,"56.1","67.8","44.4",,,,,,,
"USW00026435","1932-07",,"3","3",,,,,"0","0","0","18","0","43",,,,"78","132","132",,,"60.7","70.7","50.7",,,,,,,
"USW00026435","1932-08",,"3","0",,,,,"0","1","0","1","0","32",,,,"73","488","356",,,"53.1","61.2","45.0",,,,,,,
"USW00026435","1932-09",,"3","0",,,,"0","0","16","0","0","0","18",,"0.0",,"68","1117","629",,"0.0","42.5","52.8","32.3",,,,,,,
"USW00026435","1932-10",,"3","0",,,,"4","0","27","11","0","0","3",,"5.0",,"56","2164","1047",,"9.0","30.1","38.4","21.7",,,,,,,
"USW00026435","1932-11",,,,,,"30",,,,"29","0","0",,"10",,,"25",,,,,,"8.1",,,,,,,,
"USW00026435","1932-12",,,,"0","0",,"0","16","26",,,,"-40",,"0.0","0.00",,,,"0.00","0.0",,,"-10.8",,,,,,,
"USW00026435","1933-01",,"0","0",,,,"6","24","28","30","0","0","-57",,"6.0",,"23",,"2269",,"24.1","-18.3","-8.2","-28.5",,,,,,,
"USW00026435","1933-02",,"0","0","4","4","28","4","20","27","27","0","0","-46","30","4.0","0.40","33",,"1862","1.41","14.1","-4.3","5.4","-14.1",,,,,,,
"USW00026435","1933-03",,"0","0","1","1","31","1","18","31","25","0","0","-36","24","12.0","0.60","42",,"1611","0.60","12.0","9.0","21.8","-3.8",,,,,,,
"USW00026435","1933-05",,,"5",,,"0","0","0","12","0","5","0","28","0","0.0",,"78",,"499",,"0.0","48.8","59.4","38.2",,,,,,,
"USW00026435","1933-06",,,"19",,,,,"0","1","0","11","0","29",,,,"85",,"294",,,"55.8","68.2","43.4",,,,,,,
"USW00026435","1933-07",,,"22",,,,,"0","0","0","21","0","40",,,,"86","174","174",,,"59.9","71.5","48.3",,,,,,,
"USW00026435","1933-08",,,"9",,,,,"0","3","0","9","0","28",,,,"82","445","271",,,"56.6","66.8","46.3",,,,,,,
"USW00026435","1933-09",,,"0",,,,,"0","17","0","0","0","25",,,,"62","1122","676",,,"41.5","50.5","32.6",,,,,,,
"USW00026435","1933-10",,,"0",,,,,"9","30","19","0","0","-8",,,,"45","2397","1275",,,"20.8","29.5","12.0",,,,,,,
"USW00026435","1933-11",,,"0","6","6",,"6","20","28","25","0","0","-37",,"4.0","0.40","40","3975","1579","1.56","20.1","6.4","15.5","-2.8",,,,,,,
"USW00026435","1933-12",,,"0","2","2","30","2","28","29","28","0","0","-60","24","10.0","0.60","30","6428","2453","0.85","14.0","-25.6","-16.6","-34.6",,,,,,,
"USW00026435","1934-01",,,,,,"31",,"24","26","29","0","0","-66","34",,,"32",,,,,"-27.2","-17.8","-36.7",,,,,,,
"USW00026435","1934-02",,,"0","1","1","28","1","20","27","23","0","0","-25","32","4.0","0.18","37",,"1545","0.18","4.0","5.0","17.8","-7.7",,,,,,,
"USW00026435","1934-03",,,"0",,,"31",,"18","30","23","0","0","-40","24",,,"46",,"1706",,,"8.5","22.1","-5.1",,,,,,,
"USW00026435","1934-04",,,"0",,,"20",,"6","25","2","0","0","-5","12",,,"60",,"841",,,"34.1","45.4","22.8",,,,,,,
"USW00026435","1934-05",,,"0",,,,,"0","15","0","6","0","27",,,,"75",,"534",,,"47.8","61.8","33.8",,,,,,,
"USW00026435","1934-06",,,"41",,,,,"0","0","0","28","5","34",,,,"98",,"146",,,"61.5","79.9","43.2",,,,,,,
"USW00026435","1934-07",,,"4",,,,,"0","6","0","20","0","29",,,,"85","244","244",,,"57.3","71.4","43.1",,,,,,,
"USW00026435","1934-08",,,"13",,,,,"0","0","0","10","1","34",,,,"90","517","273",,,"56.6","67.3","46.0",,,,,,,
"USW00026435","1934-09",,,"2",,,,,"0","13","0","6","0","15",,,,"80","992","476",,,"49.2","62.6","35.8",,,,,,,
"USW00026435","1934-10",,,"0",,,,,"0","25","8","0","0","10",,,,"58","1955","962",,,"34.0","42.0","25.9",,,,,,,
"USW00026435","1934-11",,,"0","4","0",,"4","21","30","29","0","0","-19",,"2.0","0.06","25","3707","1752","0.20","6.0","4.9","12.7","-2.9",,,,,,,
"USW00026435","1934-12",,,"0",,,,,"19","28","21","0","0","-36",,,,"61","5374","1667",,,"7.3","16.5","-2.0",,,,,,,
"USW00026435","1935-01",,"0","0","7","1",,"4","29","30","31","0","0","-45",,"10.0","0.50","30","7490","2115","0.74","14.0","-5.3","5.9","-16.5",,,,,,,
"USW00026435","1935-02",,"0","0",,,,,"24","28","25","0","0","-31",,,,"42","9101","1611",,,"5.3","19.1","-8.5",,,,,,,
"USW00026435","1935-03",,"0","0","4","4",,"4","24","31","27","0","0","-47",,"7.0","0.70","42","10924","1822","1.52","17.0","6.2","22.5","-10.1",,,,,,,
"USW00026435","1935-04",,"0","0",,,,,"4","30","7","0","0","-10",,,,"49","12118","1195",,,"25.2","37.7","12.6",,,,,,,
"USW00026435","1935-05",,"0","0",,,,,"0","17","0","4","0","12",,,,"73","12772","654",,,"43.9","56.2","31.7",,,,,,,
"USW00026435","1935-06",,"11","11",,,,,"0","4","0","20","0","28",,,,"85","13018","246",,,"57.2","72.5","41.9",,,,,,,
"USW00026435","1935-07",,"47","35",,,,,"0","0","0","23","0","34",,,,"89","128","128",,,"61.8","75.2","48.5",,,,,,,
"USW00026435","1935-08",,"47","0","11","9",,"0","0","8","0","2","0","28",,"0.0","1.00","74","565","437","3.00","0.0","50.9","63.3","38.5",,,,,,,
"USW00026435","1935-09",,"47","0",,,,,"0","13","0","2","0","15",,,,"74","1233","668",,,"42.7","52.2","33.2",,,,,,,
"USW00026435","1935-10",,"47","0",,,,,"5","20","9","0","0","-28",,,,"59","2250","1016",,,"27.4","35.3","19.6",,,,,,,
"USW00026435","1935-11",,"47","0",,,,,"20","28","21","0","0","-41",,,,"48","3877","1627",,,"4.0","13.8","-5.9",,,,,,,
"USW00026435","1935-12",,"47","0","1","0",,"0","22","27","26","0","0","-55",,"0.3","0.01","40","5958","2081","0.01","0.3","-14.4","-6.4","-22.4",,,,,,,
"USW00026435","1936-01",,"0","0","1","0",,"1","25","29","24","0","0","-40",,"1.0","0.08","35","7682","1724","0.08","1.0","0.7","11.0","-9.7",,,,,,,
"USW00026435","1936-02",,"0","0","5","1",,"2","25","28","24","0","0","-48",,"3.0","0.24","22","9350","1667","0.41","5.5","-5.2","8.7","-19.2",,,,,,,
"USW00026435","1936-03",,"0","0","2","2",,"2","26","28","29","0","0","-35",,"4.0","0.23","40","10984","1635","0.35","6.0","6.4","23.1","-10.3",,,,,,,
"USW00026435","1936-04",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,"0.00","0.0",,,,,,,,,,
"USW00026435","1936-05",,,,,,,,,,"0","5","0",,,,,"73",,,,,,"65.4",,,,,,,,
"USW00026435","1936-06",,,,,,,"0","0","5",,,,"23",,"0.0",,,,,,"0.0",,,"41.4",,,,,,,
"USW00026435","1936-07",,,"22","16","8",,,"0","1","0","18","0","31",,,"0.29","85","176","176","1.60",,"60.0","72.4","47.6",,,,,,,
"USW00026435","1936-08",,,"0","17","8",,,"0","2","0","14","0","30",,,"0.35","84","404","228","2.08",,"57.4","70.1","44.7",,,,,,,
"USW00026435","1936-09",,,"0","7","3",,,"0","16","0","0","0","21",,,"0.28","66","1043","639","0.72",,"43.7","54.0","33.4",,,,,,,
"USW00026435","1936-10",,,"0","3","2",,"3","1","29","3","0","0","-2",,"3.0","0.30","56","2022","980","0.49","5.0","31.6","44.6","18.6",,,,,,,
"USW00026435","1936-11",,,"0","9","4",,"9","17","27","22","0","0","-29",,"5.0","0.45","48","3516","1493","1.25","20.0","8.7","18.9","-1.5",,,,,,,
"USW00026435","1936-12",,,"0","5","5",,"5","26","31","27","0","0","-52",,"6.0","0.35","38","5634","2118","1.05","16.0","-8.6","1.3","-18.6",,,,,,,
"USW00026435","1937-01",,"0","0","10","10",,"11","14","30","18","0","0","-22",,"24.0","1.00","45","7128","1494","4.70","74.0","15.2","26.7","3.8",,,,,,,
"USW00026435","1937-02",,,,"1","1",,"1","20","23","27","0","0","-43",,"6.0","0.58","26",,,"0.58","6.0","-6.5","3.8","-16.7",,,,,,,
"USW00026435","1937-03",,,"0","0","0",,"0","25","30","24","0","0","-40",,"0.0","0.00","44",,"1840","0.00","0.0","3.8","17.9","-10.3",,,,,,,
"USW00026435","1937-04",,,"0",,,,,"8","30","16","0","0","-12",,,,"40",,"1309",,,"19.8","29.8","9.8",,,,,,,
